bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
16636,46,24.63,1,0,241.12,12.18
26121,31,29.38,0,1,241.12,10.21
22374,63,27.18,0,1,241.12,11.04
18234,38,26.23,1,0,241.12,11.44
21050,48,28.17,1,0,241.12,10.65
22198,47,28.03,1,0,241.12,10.7
23977,60,25.87,1,0,241.13,11.6
30448,31,28.1,1,0,241.13,10.68
26516,30,30.07,1,0,241.13,9.98
19064,61,26.7,0,1,241.15,11.24
20044,50,26.7,1,0,241.15,11.24
23457,62,26.65,1,0,241.17,11.26
20188,55,27.42,1,0,241.17,10.94
20241,44,26.08,1,0,241.18,11.5
20687,60,28.15,0,1,241.2,10.66
23686,55,28.07,1,0,241.2,10.69
21324,49,27.0,1,0,241.22,11.11
20154,41,26.57,1,0,241.23,11.29
19202,64,27.02,0,1,241.25,11.1
20311,64,26.0,0,1,241.25,11.54
27099,29,26.97,1,0,241.25,11.12
20223,44,26.08,1,0,241.25,11.5
29183,49,29.93,1,0,241.27,10.02
18247,32,26.38,1,0,241.3,11.37
17322,41,24.0,1,0,241.32,12.5
26770,63,29.87,1,0,241.32,10.04
23533,55,28.33,1,0,241.32,10.59
16983,21,26.35,0,1,241.32,11.39
21395,45,27.87,1,0,241.33,10.76
25932,37,25.23,0,1,241.33,11.89
17316,40,24.0,1,0,241.33,12.5
30839,30,29.95,0,1,241.35,10.02
30987,52,27.32,1,0,241.35,10.98
21275,60,27.98,0,1,241.37,10.72
23299,68,27.12,0,1,241.37,11.06
29553,57,28.67,1,0,241.38,10.46
22981,54,26.85,1,0,241.4,11.17
22709,46,28.18,1,0,241.42,10.65
23654,56,27.3,1,0,241.42,10.99
17130,25,23.75,1,0,241.43,12.63
21383,50,28.22,1,0,241.43,10.63
22837,62,27.2,1,0,241.43,11.03
23191,52,25.72,1,0,241.43,11.66
10982,56,28.03,0,1,241.43,10.7
20700,48,27.17,1,0,241.45,11.04
21231,63,24.87,0,1,241.45,12.06
22119,64,26.78,0,1,241.45,11.2
20169,43,25.58,1,0,241.45,11.73
22525,64,28.93,0,1,241.47,10.37
21151,65,26.45,0,1,241.48,11.34
26922,27,27.85,1,0,241.5,10.77
26278,30,29.77,1,0,241.52,10.08
19340,48,26.55,1,0,241.53,11.3
22883,54,28.12,1,0,241.53,10.67
23157,62,28.28,1,0,241.55,10.61
20146,45,28.23,1,0,241.57,10.63
22939,54,27.17,1,0,241.57,11.04
23121,58,28.55,1,0,241.57,10.51
31445,49,26.08,0,1,241.58,11.5
31829,46,30.23,0,1,241.58,9.92
23092,55,27.02,1,0,241.58,11.1
21874,66,27.38,0,1,241.62,10.96
14819,50,24.58,0,1,241.62,12.21
21675,65,27.27,0,1,241.62,11.0
19764,48,26.78,1,0,241.62,11.2
23389,66,26.03,0,1,241.62,11.53
20452,42,27.78,1,0,241.63,10.8
